rank,code,candidate_level,tcad_score,geometry_score,manufacturer,device_name,report_type,pixel_pitch_um,active_si_thickness_um,dti_type,dti_depth_um,dti_width_nm,transfer_gate_type,pixel_architecture,doping_table_count,doping_row_count,region_depth_count,html_snippet_count,pdf_snippet_count,source_html,source_pdf
144,DEF-1803-805,process_snippet_only,5,3,Sony,IMX390E07,DEF,3.0,,full_depth_front_dti,,,,,0,0,0,2,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/141_DEF-1803-805.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/141_DEF-1803-805/Sony_IMX390_DEF-1803-805.pdf
145,DEF-1805-801,process_snippet_only,5,4,SmartSens,SC130GS,DEF,4.0,1.9,,,,,standalone,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/139_DEF-1805-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/139_DEF-1805-801/SmartSens_SC130GS_DEF-1805-801.pdf
146,DEF-1806-801,geometry_only,5,5,ON Semi,AR0430,DEF,2.0,2.4,back_dti,,,,two_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/138_DEF-1806-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/138_DEF-1806-801/ON_Semiconductor_AR0430_DEF-1806-801.pdf
147,DEF-1806-802,process_snippet_only,5,4,Sony,IMX410,DEF,6.0,,full_depth_front_dti,,,,two_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/136_DEF-1806-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/136_DEF-1806-802/Sony_IMX410_DEF-1806-802.pdf
148,DEF-1807-802,process_snippet_only,5,4,ON Semi,AR0522,DEF,2.2,2.5,,,,,two_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/133_DEF-1807-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/133_DEF-1807-802/ON_Semiconductor_AR0521_DEF-1807-802.pdf
149,DEF-1811-801,process_snippet_only,5,4,OmniVision,OV10650,DEF,4.2,2.0,,,,,two_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/126_DEF-1811-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/126_DEF-1811-801/OmniVision_OV10650_DEF-1811-801.pdf
150,DEF-1811-802,geometry_only,5,5,Sony,IMX309BQJ,DEF,4.4,2.7,full_depth_front_dti,,,,two_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/127_DEF-1811-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/127_DEF-1811-802/Sony_IMX309BQJ_DEF-1811-802.pdf
151,DEF-1907-801,geometry_only,5,5,Unknown,NZ1GXD,DEF,2.1,4.4,full_depth_front_dti,,,,standalone,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/117_DEF-1907-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/117_DEF-1907-801/Samsung_S5K2G1XX_DEF-1907-801.pdf
152,DEF-1911-802,process_snippet_only,5,4,Samsung,S5K231YX,DEF,9.0,,back_dti,,,,standalone,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/reports/058_DEF-1911-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/pdfs/058_DEF-1911-802/Samsung_S5K231YX_DEF-1911-802.pdf
153,DEF-2011-801,process_snippet_only,5,3,GPixel Inc,GSENSE2020BSI-ANM-NUN,DEF,6.5,10.5,,,,,standalone,0,0,0,2,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/102_DEF-2011-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/102_DEF-2011-801/Gpixel_GSENSE2020BSI_DEF-2011-801.pdf
154,DEF-2104-801,geometry_only,5,5,ON Semi,ARX3A0_CIS,DEF,2.2,2.7,partial_depth_back_dti,,,,four_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/092_DEF-2104-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/092_DEF-2104-801/ON Semi_ARX3A0_DEF-2104-801.pdf
155,DEF-2111-801,process_snippet_only,5,4,Galaxycore Inc,GC8054,DEF,1.12,2.3,,,,,four_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/085_DEF-2111-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/085_DEF-2111-801/Galaxycore_GC8054_DEF-2111-801.pdf
156,DEF-2202-802,geometry_only,5,5,Sony,IMX636AAMR-ES,DEF,4.86,6.8,full_depth_front_dti,,,,standalone,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/reports/028_DEF-2202-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/pdfs/028_DEF-2202-802/Sony_IMX636_Event-Based_Vision_Sensor_DEF-2202-802.pdf
157,DEF-2206-804,process_snippet_only,5,4,SmartSens,SC501CS,DEF,1.12,2.2,,,,,four_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/074_DEF-2206-804.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/074_DEF-2206-804/SmartSens_SC501CS_DEF-2206-804.pdf
158,DEF-2207-802,geometry_only,5,5,Sony,IMX989,DEF,1.6,2.9,full_depth_front_dti,,,,quad_pixel,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/070_DEF-2207-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/070_DEF-2207-802/Sony_IMX989_DEF-2207-802.pdf
159,DEF-2208-801,geometry_only,5,5,Sony,IMX787,DEF,0.8,3.6,full_depth_front_dti,,,,quad_pixel,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/069_DEF-2208-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/069_DEF-2208-801/Sony_IMX787_DEF-2208-801.pdf
160,DEF-2210-801,geometry_only,5,5,SmartSens,SC850SL-CSMNN00,DEF,2.0,5.8,partial_depth_back_dti,,,,standalone,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/068_DEF-2210-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/068_DEF-2210-801/SmartSens_SC850SL_DEF-2210-801.pdf
161,DEF-2304-801,geometry_only,5,5,Sony,IMX500,DEF,1.55,2.4,full_depth_front_dti,,,,quad_pixel,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/062_DEF-2304-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/062_DEF-2304-801/Sony_IMX500_DEF-2304-801.pdf
162,DEF-2306-803,geometry_only,5,5,Sony,IMX715,DEF,1.45,6.1,full_depth_front_dti,,,,quad_pixel,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/054_DEF-2306-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/054_DEF-2306-803/Sony_IMX715_DEF-2306-803.pdf
163,DEF-2401-801,geometry_only,5,5,Galaxycore Inc,KJ5n_Front-Cam_CIS,DEF,0.7,2.7,partial_depth_back_dti,,,,quad_pixel,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/046_DEF-2401-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/046_DEF-2401-801/Galaxycore_GC32E1_DEF-2401-801.pdf
164,DEF-2409-804,geometry_only,5,5,Sony,IMX972,DEF,0.7,4.5,full_depth_front_dti,,,,quad_pixel,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/033_DEF-2409-804.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/033_DEF-2409-804/Sony_IMX972_DEF-2409-804.pdf; /Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_img_sensor_fc_pkg_2024_2026_a6pf30000000GqhAAE/html/pdfs/036_FCS-2409-853/Summary _ Sony_IMX972_DEF-2409-804.pdf
165,DEP-1811-802,process_snippet_only,5,2,Sony,IMX250MZR,DEP,3.45,,,,,,two_shared,0,0,0,6,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/041_DEP-1811-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/pdfs/041_DEP-1811-802/Sony_IMX250MZR_FI_CIS_DEP-1811-802.pdf
166,DEP-2211-801,process_snippet_only,5,2,Stratio,BeyonSense 1,DEP,,,back_dti,,,,standalone,0,0,0,4,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_dep_a6pf30000009PYHAA2/html/reports/007_DEP-2211-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_dep_a6pf30000009PYHAA2/html/pdfs/007_DEP-2211-801/Stratio_BeyonSense_SWIR_DEP-2211-801.pdf
167,DEF-1311-801,process_snippet_only,4,3,OmniVision,OV07955-E53V-PF,DEF,6.0,,,,,,standalone,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/166_DEF-1311-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/166_DEF-1311-801/OmniVision_OV7955_Device_Essentials_Summary.pdf
168,DEF-1412-801,process_snippet_only,4,3,Sony,IMX210AQL,DEF,3.9,,,,,,two_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/159_DEF-1412-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/159_DEF-1412-801/Sony_IMX210_CIS_from_a6000_Device_Essentials_Summary_DEF-1412-801.pdf
169,DEF-1602-801,insufficient_for_tcad,4,4,Sony,ISX017,DEF,3.5,,full_depth_front_dti,,,,standalone,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_devices_a6pf30000000GqhAAE/html/reports/031_DEF-1602-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_devices_a6pf30000000GqhAAE/html/pdfs/031_DEF-1602-801/Sony_ISX017_Device_Essentials_Summary_DEF-1602-801.pdf
170,DEF-1605-801,process_snippet_only,4,3,Nikon,5119,DEF,6.5,,,,,,two_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/155_DEF-1605-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/155_DEF-1605-801/Toshiba_T4K54_from_Nikon_D5_DEF-1605-801.pdf
171,DEF-1605-803,insufficient_for_tcad,4,4,Sony,IPCX-HC28551080S-POE_Image-Sensor,DEF,2.9,,full_depth_front_dti,,,,standalone,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/154_DEF-1605-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/154_DEF-1605-803/Sony_IMX291LQR_Device_Essentials_Summary_DEF-1605-803.pdf
172,DEF-1707-802,insufficient_for_tcad,4,4,Unknown,Sony A9 Image Sensor,DEF,5.95,,full_depth_front_dti,,,,two_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/149_DEF-1707-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/149_DEF-1707-802/Sony_IMX310_Device_Essentials_Summary_DEF-1707-802.pdf
173,DEF-1708-805,process_snippet_only,4,3,Aptina,522487,DEF,3.0,,,,,,two_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/148_DEF-1708-805.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/148_DEF-1708-805/ON_Semiconductor_AR0231_DEF-1708-805.pdf
174,DEF-1712-801,insufficient_for_tcad,4,4,Sony,IMX309AQJ,DEF,4.4,,full_depth_front_dti,,,,two_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/145_DEF-1712-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/145_DEF-1712-801/Sony_IMX309AQJ_DEF-1712-801.pdf
175,DEF-1802-801,process_snippet_only,4,3,ON Semi,AR0144CSSC00SUKAH3-GEVB,DEF,3.0,,,,,,two_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/reports/078_DEF-1802-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/pdfs/078_DEF-1802-801/ON_Semiconductor_AR0144_DEF-1802-801.pdf
176,DEF-1802-802,insufficient_for_tcad,4,4,Sony,IMX299CJK,DEF,2.4,,full_depth_front_dti,,,,quad_pixel,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/142_DEF-1802-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/142_DEF-1802-802/Sony_IMX299CJK_Device_Essentials_DEF-1802-802.pdf
177,DEF-1804-803,insufficient_for_tcad,4,4,Sony,IMX324,DEF,2.25,,full_depth_front_dti,,,,two_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/140_DEF-1804-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/140_DEF-1804-803/Sony_IMX324_DEF-1804-803.pdf
178,DEF-1805-803,process_snippet_only,4,3,ON Semi,AS0140,DEF,3.0,,,,,,two_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/135_DEF-1805-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/135_DEF-1805-803/ON_Semiconductor_AS0140AT_DEF-1805-803.pdf
179,DEF-1809-802,process_snippet_only,4,3,Sony,IMX250MZR,DEF,3.45,,,,,,two_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/131_DEF-1809-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/131_DEF-1809-802/Sony_IMX250MZR_DEF-1809-802.pdf
180,DEF-1901-801,process_snippet_only,4,3,ON Semi,AR0237 RGB-IR,DEF,3.0,,,,,,two_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/124_DEF-1901-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/124_DEF-1901-801/ON_Semiconductor_AR0237_RGB-IR_DEF-1901-801.pdf
181,DEF-1902-803,process_snippet_only,4,3,GPixel Inc,GMAX0505-BM,DEF,2.5,,,,,,two_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/121_DEF-1902-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/121_DEF-1902-803/Gpixel_GMAX0505_Monochrome_Global_Shutter_CIS_DEF-1902-803.pdf
182,DEF-1905-803,process_snippet_only,4,3,PMD Technologies,IRS2381C,DEF,14.0,,,,,,standalone,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/119_DEF-1905-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/119_DEF-1905-803/Infineon_IRS2381C_DEF-1905-803.pdf
183,DEF-1908-802,insufficient_for_tcad,4,4,ON Semi,AR0221SR2C00SUEAH3-GEVB,DEF,4.2,3.5,,,,,two_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/115_DEF-1908-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/115_DEF-1908-802/ON_Semiconductor_AR0221_DEF-1908-802.pdf
184,DEF-1912-801,insufficient_for_tcad,4,4,ON Semi,LI-AR0820-GMSL2_Front-Cam,DEF,2.1,,partial_depth_back_dti,,,,four_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/109_DEF-1912-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/109_DEF-1912-801/ON_Semiconductor_AR0820_DEF-1912-801.pdf
185,DEF-2001-802,process_snippet_only,4,3,Canon,3862C002,DEF,3.4,,,,,,two_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/108_DEF-2001-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/108_DEF-2001-802/Canon_3U5MGXSBAI_DEF-2001-802.pdf
186,DEF-2103-801,process_snippet_only,4,3,ON Semi,MARS1-AR0234ATSMS-GEVB,DEF,3.0,,,,,,two_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/reports/036_DEF-2103-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/pdfs/036_DEF-2103-801/ONSemi_AR0234AT_DEF-2103-801.pdf
187,DEF-2103-803,process_snippet_only,4,3,SmartSens,SC4335,DEF,2.25,,,,,,standalone,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/095_DEF-2103-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/095_DEF-2103-803/SmartSens_SC4335_DEF-2103-803.pdf
188,DEF-2206-802,insufficient_for_tcad,4,4,ON Semi,AR0220AT3B00XUEA0-DPBR,DEF,4.2,3.5,,,,,two_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/076_DEF-2206-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/076_DEF-2206-802/onsemi_AR0220AT_HDR_Automotive_CMOS_DEF-2206-802.pdf
189,DEF-2308-801,insufficient_for_tcad,4,4,Fujifilm,X-H2s,DEF,3.77,2.8,,,,,two_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/reports/007_DEF-2308-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/pdfs/007_DEF-2308-801/Sony_IMX695AFR_DEF-2308-801.pdf
190,DEF-2407-802,insufficient_for_tcad,4,4,SmartSens,SC100AT-CS1AF00,DEF,3.0,2.3,,,,,standalone,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/035_DEF-2407-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/035_DEF-2407-802/SmartSens_SC100AT_DEF-2407-802.pdf; /Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_img_sensor_fc_pkg_2024_2026_a6pf30000000GqhAAE/html/pdfs/037_FCS-2407-861/Summary _ SmartSens_SC100AT_DEF-2407-802.pdf
191,DEF-2410-802,process_snippet_only,4,1,Sony,IMX900,DEF,2.25,,,,,,,0,0,0,4,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/030_DEF-2410-802.html,
192,DEF-2502-803,process_snippet_only,4,1,Melexis,MLX90632SLD-BCB-000-SP,DEF,,,,,,,standalone,0,0,0,4,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/reports/001_DEF-2502-803.html,
193,DEF-1405-801,insufficient_for_tcad,3,3,Melexis,MLX75411,DEF,5.5,,,,,,standalone,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/164_DEF-1405-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/164_DEF-1405-801/Melexis_MLX75411_Device_Essentials_Summary_DEF-1405-801.pdf
194,DEF-1405-802,insufficient_for_tcad,3,3,Leica,X1000,DEF,6.0,,,,,,standalone,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/165_DEF-1405-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/165_DEF-1405-802/CMOSIS_X1000B_Device_Essentials_Summary_DEF-1405-802.pdf
195,DEF-1406-801,process_snippet_only,3,2,E2V Technologies,EV76C570,DEF,4.5,,,,,,,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/163_DEF-1406-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/163_DEF-1406-801/e2v_EV76C570ABT-EQT_Device_Essentials_Summary_DEF-1406-801.pdf
196,DEF-1407-803,insufficient_for_tcad,3,3,Galaxycore Inc,GC5004,DEF,1.4,,,,,,two_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/162_DEF-1407-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/162_DEF-1407-803/GalaxyCore_GC5004_Device_Essentials_Summary_DEF-1407-803.pdf
197,DEF-1408-801,process_snippet_only,3,2,OmniVision,OV5670,DEF,1.4,,,,,,four_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/160_DEF-1408-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/160_DEF-1408-801/OmniVision_OV5670_Device_Essentials_Summary_DEF-1408-801.pdf
198,DEF-1506-804,insufficient_for_tcad,3,3,E2V Technologies,LINCE5M,DEF,5.0,,,,,,standalone,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/157_DEF-1506-804.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/157_DEF-1506-804/e2v_Lince_5M_Device_Essentials_Summary_DEF-1506-804.pdf
199,DEF-1511-803,insufficient_for_tcad,3,3,Sony,IMX224,DEF,3.75,,,,,,standalone,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/156_DEF-1511-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/156_DEF-1511-803/Sony_IMX224_CMOS_Image_Sensor_for_Industrial_Applications_DEF-1511-803.pdf
200,DEF-1609-802,insufficient_for_tcad,3,3,Nikon,IMX321AQJ,DEF,4.2,,,,,,two_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/152_DEF-1609-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/152_DEF-1609-802/Sony_IMX321AQJ_from_Nikon_D500_DEF-1609-802.pdf
201,DEF-1707-803,insufficient_for_tcad,3,3,Fujitsu,F-04G_Biometric,DEF,1.12,,,,,,eight_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/reports/085_DEF-1707-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/pdfs/085_DEF-1707-803/Sony_CIS_IRIS_Scanner_DEF-1707-803.pdf
202,DEF-1708-803,insufficient_for_tcad,3,3,OmniVision,OV4688,DEF,2.0,,,,,,two_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/146_DEF-1708-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/146_DEF-1708-803/OmniVision_OV4688_Device_Essentials_Summary_DEF-1708-803.pdf
203,DEF-1708-804,insufficient_for_tcad,3,3,OmniVision,OS05A10,DEF,2.0,,,,,,two_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/reports/092_DEF-1708-804.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/pdfs/092_DEF-1708-804/OmniVision_OS05A10_PureCel_CIS_DEF-1708-804.pdf
204,DEF-1801-801,insufficient_for_tcad,3,3,OmniVision,OVM6946-RAJA,DEF,1.75,,,,,,two_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/143_DEF-1801-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/143_DEF-1801-801/OmniVision_OVM6946-RAJA_DEF-1801-801.pdf
205,DEF-1801-802,insufficient_for_tcad,3,3,Aptina,510689,DEF,1.1,,,,,,two_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/144_DEF-1801-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/144_DEF-1801-802/ON_Semiconductor_AR1337_DEF-1801-802.pdf
206,DEF-1809-803,insufficient_for_tcad,3,3,OmniVision,OV2775_CIS,DEF,2.8,,,,,,standalone,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/128_DEF-1809-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/128_DEF-1809-803/Omnivision_OV2775_DEF-1809-803.pdf
207,DEF-1810-802,insufficient_for_tcad,3,3,Canon,LC1510_CIS,DEF,5.4,,,,,,dual_pixel,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/129_DEF-1810-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/129_DEF-1810-802/Canon_LC1510_CIS_DEF-1810-802.pdf
