code,manufacturer,device_name,report_type,readiness_level,readiness_score,candidate_level,pixel_pitch_um,pixel_pitch_source,active_si_um,active_si_source,dti_type,dti_depth_um,dti_depth_source,dti_width_um,photocathode_depth_um,p_well_depth_um,pinning_depth_um,transfer_gate_type,transfer_gate_depth_um,fd_depth_um,optical_stack_um,doping_model_kind,sims_seed_profile,recommended_tcad_profile,recommended_profile_kind,model_json
DEF-2403-801,OmniVision,OV50H,DEF,structure_ready_high,66.8,geometry_plus_process_evidence,1.2,extracted,3.0,extracted,partial_depth_back_dti,2.1,extracted,0.19,2.64,0.48,0.1,unknown,0.0,0.165,2.0,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2403_801_omnivision_ov50h/profile.json,techinsights_proxy_profile,models/def_2403_801_omnivision_ov50h.json
DEF-2201-803,Sony,IMX709,DEF,structure_ready_high,66.8,geometry_plus_process_evidence,0.8,extracted,3.5,extracted,partial_depth_back_dti,2.3,extracted,0.141,3.08,0.56,0.1,unknown,0.0,0.1925,1.5,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2201_803_sony_imx709/profile.json,techinsights_proxy_profile,models/def_2201_803_sony_imx709.json
DEF-2103-804,Samsung,S5KGN2,DEF,structure_ready_high,66.8,geometry_plus_process_evidence,1.4,extracted,2.8,extracted,full_depth_front_dti,2.3,extracted,0.096,2.464,0.448,0.1,unknown,0.0,0.154,1.8,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2103_804_samsung_s5kgn2/profile.json,techinsights_proxy_profile,models/def_2103_804_samsung_s5kgn2.json
DEF-2011-804,Sony,IMX462,DEF,structure_ready_high,66.8,geometry_plus_process_evidence,2.9,extracted,6.2,extracted,full_depth_front_dti,2.0,extracted,0.141,5.456,0.8,0.1,unknown,0.0,0.28,2.5,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2011_804_sony_imx462/profile.json,techinsights_proxy_profile,models/def_2011_804_sony_imx462.json
DEF-1908-801,Sony,IMX374,DEF,structure_ready_high,66.8,geometry_plus_process_evidence,1.22,extracted,2.9,extracted,back_dti,2.3,extracted,0.141,2.552,0.464,0.1,unknown,0.0,0.1595,1.8,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_1908_801_sony_imx374/profile.json,techinsights_proxy_profile,models/def_1908_801_sony_imx374.json
DEF-1906-802,Samsung,S5K3J1SX03_CIS,DEF,structure_ready_high,66.8,geometry_plus_process_evidence,1.22,extracted,2.6,extracted,partial_depth_back_dti,2.1,extracted,0.096,2.288,0.416,0.1,unknown,0.0,0.143,1.7,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_1906_802_samsung_s5k3j1sx03_cis/profile.json,techinsights_proxy_profile,models/def_1906_802_samsung_s5k3j1sx03_cis.json
DEF-1810-801,OmniVision,OS05A20,DEF,structure_ready_high,66.8,geometry_plus_process_evidence,2.0,extracted,3.6,extracted,back_dti,2.6,extracted,0.19,3.168,0.576,0.1,unknown,0.0,0.198,2.5,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_1810_801_omnivision_os05a20/profile.json,techinsights_proxy_profile,models/def_1810_801_omnivision_os05a20.json
DEP-2209-801,Apple,iPhone 14 Pro,DEP,structure_ready_high,66.3,geometry_plus_process_evidence,1.22,extracted,3.6,extracted,full_depth_front_dti,2.8,extracted,0.1705,3.168,0.576,0.1,unknown,0.0,0.198,1.6,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/dep_2209_801_apple_iphone_14_pro/profile.json,techinsights_proxy_profile,models/dep_2209_801_apple_iphone_14_pro.json
DEF-2602-801,SmartSens,SC485SL-CS3NNH0,DEF,structure_ready_high,66.3,geometry_plus_process_evidence,2.9,extracted,3.2,extracted,partial_depth_back_dti,2.4,extracted,0.19,2.816,0.512,0.1,unknown,0.0,0.176,2.5,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2602_801_smartsens_sc485sl_cs3nnh0/profile.json,techinsights_proxy_profile,models/def_2602_801_smartsens_sc485sl_cs3nnh0.json
DEF-2408-802,SmartSens,SC535HGS,DEF,structure_ready_high,66.3,geometry_plus_process_evidence,3.4,extracted,4.0,extracted,partial_depth_back_dti,2.0,extracted,0.19,3.52,0.64,0.1,unknown,0.0,0.22,2.4,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2408_802_smartsens_sc535hgs/profile.json,techinsights_proxy_profile,models/def_2408_802_smartsens_sc535hgs.json
DEF-2401-802,ON Semi,AR0341AT,DEF,structure_ready_high,66.3,geometry_plus_process_evidence,2.1,extracted,3.0,extracted,partial_depth_back_dti,0.6,extracted,0.19,2.64,0.48,0.1,unknown,0.0,0.165,1.8,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2401_802_on_semi_ar0341at/profile.json,techinsights_proxy_profile,models/def_2401_802_on_semi_ar0341at.json
DEF-2310-802,ON Semi,AR0823_ISP,DEF,structure_ready_high,66.3,geometry_plus_process_evidence,2.1,extracted,3.1,extracted,partial_depth_back_dti,1.4,extracted,0.19,2.728,0.496,0.1,unknown,0.0,0.1705,1.9,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2310_802_on_semi_ar0823_isp/profile.json,techinsights_proxy_profile,models/def_2310_802_on_semi_ar0823_isp.json
DEF-2212-802,Leopard Imaging Inc,LI-IMX728-9295,DEF,structure_ready_high,66.3,geometry_plus_process_evidence,2.1,extracted,4.1,extracted,full_depth_front_dti,2.7,extracted,0.1705,3.608,0.656,0.1,unknown,0.0,0.2255,1.9,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2212_802_leopard_imaging_inc_li_imx728_9295/profile.json,techinsights_proxy_profile,models/def_2212_802_leopard_imaging_inc_li_imx728_9295.json
DEF-2203-801,SmartSens,SC410GS-CC3AF00,DEF,structure_ready_high,66.3,geometry_plus_process_evidence,4.2,extracted,2.4,extracted,partial_depth_back_dti,1.6,extracted,0.19,2.112,0.384,0.1,unknown,0.0,0.132,3.9,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2203_801_smartsens_sc410gs_cc3af00/profile.json,techinsights_proxy_profile,models/def_2203_801_smartsens_sc410gs_cc3af00.json
DEF-2102-801,Leopard Imaging Inc,OX08A4Y-GMSL,DEF,structure_ready_high,66.3,geometry_plus_process_evidence,2.1,extracted,2.9,extracted,partial_depth_back_dti,2.1,extracted,0.19,2.552,0.464,0.1,unknown,0.0,0.1595,1.7,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2102_801_leopard_imaging_inc_ox08a4y_gmsl/profile.json,techinsights_proxy_profile,models/def_2102_801_leopard_imaging_inc_ox08a4y_gmsl.json
DEF-2505-803,SmartSens,SC550XS,DEF,structure_ready_high,66.0,geometry_plus_process_evidence,1.0,extracted,2.9,extracted,back_dti,2.0,extracted,0.097,2.552,0.464,0.1,unknown,0.0,0.1595,2.1,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2505_803_smartsens_sc550xs/profile.json,techinsights_proxy_profile,models/def_2505_803_smartsens_sc550xs.json
DEP-2103-804,Samsung,S5KGN2,DEP,structure_ready_high,65.9,geometry_plus_process_evidence,1.4,extracted,2.8,extracted,full_depth_front_dti,2.3,extracted,0.096,2.464,0.448,0.1,unknown,0.0,0.154,1.5,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/dep_2103_804_samsung_s5kgn2/profile.json,techinsights_proxy_profile,models/dep_2103_804_samsung_s5kgn2.json
DEF-2312-801,Samsung,S5KGM5SX_CIS,DEF,structure_ready_high,65.9,geometry_only,0.7,extracted,3.8,extracted,full_depth_front_dti,3.724,inferred_empirical,0.096,3.344,0.608,0.1,vertical_transfer_gate,0.44,0.209,1.3,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2312_801_samsung_s5kgm5sx_cis/profile.json,techinsights_proxy_profile,models/def_2312_801_samsung_s5kgm5sx_cis.json
DEF-2308-804,Sony,IMX623,DEF,structure_ready_high,65.9,geometry_only,3.0,extracted,3.0,extracted,full_depth_front_dti,2.94,inferred_empirical,0.141,2.64,0.48,0.1,vertical_transfer_gate,0.44,0.165,2.5,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2308_804_sony_imx623/profile.json,techinsights_proxy_profile,models/def_2308_804_sony_imx623.json
DEF-2206-805,Sony,IMX662,DEF,structure_ready_high,65.9,geometry_only,2.9,extracted,6.6,extracted,full_depth_front_dti,6.468,inferred_empirical,0.141,5.808,0.8,0.1,dual_vertical_transfer_gate,0.44,0.28,2.6,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2206_805_sony_imx662/profile.json,techinsights_proxy_profile,models/def_2206_805_sony_imx662.json
DEF-1911-803,Samsung,S5KHMX,DEF,structure_ready_high,65.9,geometry_only,0.8,extracted,4.0,extracted,full_depth_front_dti,3.92,inferred_empirical,0.096,3.52,0.64,0.1,vertical_transfer_gate,0.44,0.22,1.5,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_1911_803_samsung_s5khmx/profile.json,techinsights_proxy_profile,models/def_1911_803_samsung_s5khmx.json
DEF-1901-804,Samsung,S5KGM1,DEF,structure_ready_high,65.9,geometry_only,0.8,extracted,3.7,extracted,full_depth_front_dti,3.626,inferred_empirical,0.096,3.256,0.592,0.1,vertical_transfer_gate,0.44,0.2035,1.2,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_1901_804_samsung_s5kgm1/profile.json,techinsights_proxy_profile,models/def_1901_804_samsung_s5kgm1.json
DEP-2401-801,Galaxycore Inc,KJ5n_Front-Cam_CIS,DEP,structure_ready_high,65.4,geometry_plus_process_evidence,0.7,extracted,2.7,extracted,partial_depth_back_dti,1.8,extracted,0.19,2.376,0.432,0.1,unknown,0.0,0.1485,1.7,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/dep_2401_801_galaxycore_inc_kj5n_front_cam_cis/profile.json,techinsights_proxy_profile,models/dep_2401_801_galaxycore_inc_kj5n_front_cam_cis.json
DEF-2509-801,OmniVision,OG05C10_CIS,DEF,structure_ready_high,65.4,region_depths_and_process_evidence,3.45,extracted,5.9,extracted,full_depth_front_dti,5.782,inferred_empirical,0.24,5.192,0.8,0.1,unknown,0.0,0.28,3.6,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2509_801_omnivision_og05c10_cis/profile.json,techinsights_proxy_profile,models/def_2509_801_omnivision_og05c10_cis.json
DEP-2401-802,Prophesee,PEK3X320CDMP_Cam_CIS,DEP,structure_ready_high,64.9,geometry_plus_process_evidence,6.3,extracted,5.8,extracted,full_depth_front_dti,0.19,extracted,0.1705,5.104,0.8,0.1,unknown,0.0,0.28,3.1,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/dep_2401_802_prophesee_pek3x320cdmp_cam_cis/profile.json,techinsights_proxy_profile,models/dep_2401_802_prophesee_pek3x320cdmp_cam_cis.json
